PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,EC50 Qualifier,EC50,EC50 Standard Error,S0,SInf,Hill Slope,Num. Points,Max. Activity,Activity at 0.10uM,Activity at 0.19uM,Activity at 0.38uM,Activity at 0.75uM,Activity at 0.80uM,Activity at 1.50uM,Activity at 1.60uM,Activity at 3.00uM,Activity at 6.00uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"'<', '=', '>'",the concentration whereupon perceived activity reaches 50% of the maximum,the standard error for the calculated EC50 value,the fitted activity level at zero concentration,the fitted activity level at infinite concentration,the slope at EC50,the number of data points included in the plot,the maximum activity value observed,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,,,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,0.1,0.19,0.38,0.75,0.8,1.5,1.6,3,6
1291,24808206,619796,CN(CCOC1=CC=CC=C1)C(=O)C2=CC(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-],Active,62,,,=,0.7,1.051,-3.8,-100.7,4,14,-101,-5.9,-5.3,-7.3,,-66.5,,-96.2,-101,-100.8
1292,26730851,2738200,CC1=C(C(=NO1)C2=CC=CC=C2)CNC(=O)NC3=CC=C(C=C3)C(F)(F)F,Active,54,,,=,4.326,1.074,23.3,-100,4,14,-75.5,18.9,28.8,29.6,22.3,,13.2,,2.7,-75.5
1293,56318883,24980571,CC(C)CN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)COC(=O)C3=CC=C(S3)[N+](=O)[O-],Active,60,,,=,1.059,1.138,0,-100,1.66,12,-91.3,11.2,-20.3,-20.1,,-30.6,,-66.1,-91.3,
1294,17409656,1480206,C1=CC(=CC=C1C2=CC=NC3=NC(=NN23)SC4=C(C=C(C=N4)C(F)(F)F)Cl)Cl,Active,58,,,=,1.724,1.104,0,-100,1.34,14,-93.7,-1.8,-10.2,-7.2,,-32.1,,-45.5,-60.1,-93.7
1295,14728266,5436360,CC1=CC=C(C=C1)/C(=N\O)/C2=C(C3=C(O2)C(=C4C(=C3)C(=CC(=O)O4)C)C)C,Active,59,,,=,1.227,1.145,-18.8,-100,1.63,14,-100.9,-15.1,-27.2,-30.9,,-45.4,,-66.4,-83,-100.9
1296,49827276,1298115,COC1=CC=C(C=C1)N2C=C(C(C(=C2)C(=O)OC)C3=CC=C(C=C3)[N+](=O)[O-])C(=O)OC,Active,57,,,=,1.943,1.094,0,-100,1.98,12,-73.9,4.3,-6.3,-5.5,,-18.2,,-35.1,-73.9,
1297,26671125,683024,CC1=CC(=NC2=C1C(=C(S2)C(=O)C3=CC=CC=C3)N)C,Active,66,,,=,0.225,1.173,0,-108.1,1,13,-101.5,-28.3,-58.2,-58.8,,-86,,-98.4,-101.5,-101.5
1298,49673799,2384236,C1=CC=C(C=C1)CCN(CCC2=CC=CC=C2)C(=O)CCl,Active,57,,,=,2.067,1.125,-9.9,-100,4,12,-98.6,-2.9,-20.4,-11.4,-13.4,,-15.8,,-98.6,
1299,49671751,3863745,C1CN=C(SC1)NC2=CC(=C(C=C2)Cl)Cl,Active,57,,,=,1.797,1.135,-25,-100,2,12,-90.5,-27.5,-31.8,-24.4,,-39.9,,-53.9,-84.9,-90.5
1300,14723409,546968,CN(C)CCCNC1=C(C(=O)NN=C1)Cl,Active,62,,,=,0.658,1.187,-25,-100.8,1.85,14,-98.4,-29.3,-33.2,-41.8,,-71.6,,-89.1,-95.8,-98.4
1301,24825181,2112476,COC1=C(C=C(C=C1)[N+](=O)[O-])NC(=O)COC(=O)C2CC2,Inactive,0,,,>,60,,,,,12,15.4,15.4,,4,3.3,,-0.5,,1.3,-2.6
1302,14724582,827650,CC1=CC=C(C=C1)N2CCN(C2C3=CN=CC=C3)C4=CC=C(C=C4)C,Active,61,,,=,0.768,1.214,-10.4,-100,1.45,14,-98.5,-11.9,-26.8,-28.9,-61.5,,-65.3,,-95.3,-98.5
1303,17386636,1232742,C1CN(CCN(C1)C(=O)COC2=C(C=C(C=C2)Cl)Cl)C(=O)COC3=C(C=C(C=C3)Cl)Cl,Active,59,,,=,1.391,1.086,-24.1,-100,3.62,14,-101.2,-25.3,-26.2,-20.4,-33.2,,-66.5,,-96.6,-101.2
1304,24817594,1486292,C1=CC(=O)N(C1=O)CCNC2=C(C=C(C=N2)C(F)(F)F)Cl,Active,56,,,=,2.783,1.293,25,-100,4,13,108.9,17,36.4,46.1,59.1,,108.9,,-60.9,-98.5
1305,17516324,2101118,C1=CC=C(C=C1)C(C2=CC=CC=C2)NC(=S)NC3=CC=CC(=C3)C(F)(F)F,Active,57,,,=,2.217,1.115,-5.4,-100,4,14,-96,-4.1,-14.5,-10.1,-4.9,,-2.6,,-94.4,-96
1306,47194116,56642874,C1CN=C(N1)N/N=C\C2=CC(=NC(=C2)Cl)Cl,Active,62,,,=,0.663,1.123,-8.6,-89.8,4,14,-91.4,0.4,-22.9,-10.2,,-66.6,,-83.3,-90.9,-91.4
1307,49668002,9590742,C/C(=N\NC(=O)C1=CC=CC=C1Cl)/C2=CC=CC=N2,Active,58,,,=,1.497,1.055,11.2,-100.4,4,14,-99.1,15.9,12.2,3.3,7.3,,-44.1,,-99.1,-96.3
1308,24783840,879019,CC1=C(C(=O)N2C(=N1)C(=CN2)C3=CC=CC=C3)CC4=CC=CC=C4,Active,57,,,=,2.222,1.167,0,-100,4,12,-100.4,1,-7.7,5,,1.4,,21.8,-98.2,-100.4
1309,844552,646879,CCC1=CC2=C(C=C1)OC(=N2)C3=C(C=CC(=C3)N=CC4=C(C(=CC=C4)OC)O)O,Active,56,,,=,2.45,1.085,-4.3,-100,3.86,12,-70.2,7.4,-6.5,-10.7,-9,,-16,,-70.2,
1310,22401774,6884770,C1=CC=C2C=C(C=CC2=C1)NCC(=O)N/N=C/C3=CC=C(O3)[N+](=O)[O-],Active,70,,,<,0.1,,0,-100.3,0.98,14,-99.9,-77,-85.8,-94.2,,-95.5,,-97.6,-99.9,-99.8
1311,858563,659872,CC1=CC(=NC(=N1)C2=CC=CC=C2O)NC3=CC(=CC=C3)F,Active,54,,,=,4.153,1.097,-15.3,-100,4,14,-87.9,-8,-9.6,-16.2,,-22.8,,-23.9,-29.1,-87.9
1312,24816495,2155616,CCN(C1=CC=CC=C1)S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=NN=C(O3)C4CC4,Active,57,,,=,2.156,1.09,0,-100,4,13,-101.8,-11.5,1.2,1.4,,-4,,-6.1,-96.8,-101.8
1313,24794699,1017506,CN1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)C4=CC=C(C=C4)Br,Active,59,,,=,1.258,1.093,0,-100,1.81,14,-97.9,5.9,-8.4,-15.8,-28.8,,-50.1,,-89.7,-97.9
1314,17415887,765891,C1=CC=C(C=C1)/C=C/C=C(/C#N)\C(=O)NC2=CC=CC=C2,Active,52,,,=,8.82,1.802,-8.2,-100,4,14,-24.8,-18.3,-8.8,-9.3,-4.3,,-5.8,,-3.7,-24.8
1315,26658677,1895574,CCCOCC1=C2C=CC=NC2=C(C=C1)O,Active,56,,,=,2.497,1.103,13.8,-100,4,14,-95.2,0.8,16.8,7.2,,15.8,,20.5,-76.9,-95.2
1316,24783448,4919925,CN(C)CCC1CCN(CC1)C2=C(C=C(C(=C2)C#N)C#N)[N+](=O)[O-],Active,65,,,=,0.345,1.099,-25,-98,3.26,14,-99,-28.1,-32.6,-68.4,-91.2,,-96,,-98.7,-99
1317,24816208,5829079,C1=CC=C(C=C1)/C=C/C(=O)NC2=NC(=CS2)C3=CC=NC=C3,Active,61,,,=,0.843,1.231,25,-78.2,3.84,14,-86,58.4,56,36,,-27,,-57.4,-78.3,-86
1318,24807327,15740787,C[N+]1=C2N(C3=CC=CC=C31)N=C(CS2)C4=CC=C(C=C4)OC.[Br-],Active,70,,,<,0.1,,0,-105.6,0.76,14,-100.6,-64.5,-68.5,-85.6,,-92.5,,-99.9,-100.6,-100
1319,49665101,2987903,CCN1C2=C(C=C(C=C2)F)C3=C1N=C(N=N3)SCCN4CCCCC4,Active,61,,,=,0.777,1.107,-25,-100,2.14,14,-97.4,-23.6,-37.9,-31.5,,-65,,-87.8,-95.7,-97.4
1320,24795330,2949414,C1CCC(C1)NCCCOC2=CC=C(C=C2)CC3=CC=CC=C3.C(=O)(C(=O)O)O,Active,61,,,=,0.781,1.154,-19.4,-100,2.1,14,-99.1,-17.8,-29.1,-29.6,,-63.1,,-84.5,-94.3,-99.1
1321,47194900,901998,C1=CC(=CC(=C1)S(=O)(=O)C2=NC=C(C=C2)[N+](=O)[O-])C(F)(F)F,Active,60,,,=,0.913,1.291,0,-100,1.45,14,-98.8,-16.8,-4.2,-14.2,,-62.5,,-45.8,-98.8,-98.4
1322,7973491,2852681,CC1=CC(=CC(=C1Cl)C)OCCCN2C=CN=C2,Active,61,,,=,0.852,1.083,0,-95.7,3.33,13,-97.3,-8,7.5,-7.6,,-42.7,,-85.4,-93.3,-97.3
1323,14743193,4893393,CC(C)(C)C1=NC2=C(C=NN2C(=C1)NCCCN3C=CN=C3)C4=CC=C(C=C4)Cl,Active,58,,,=,1.486,1.088,0,-100,2.94,14,-100.2,5.1,10.3,-1,-24.4,,-40.9,,-100.2,-100
1324,24837253,4067868,CCN(CC)S(=O)(=O)C1=CC(=C(C=C1)NN=C2CCN(CC2)C)[N+](=O)[O-],Active,63,,,=,0.482,1.15,7.3,-95.1,1.68,14,-93.7,2.6,-15.5,-29.8,-64.1,,-82.2,,-89.9,-93.7
1325,49819170,2220460,CC1=C(C=CC2=C1N=C(C=C2C(=O)NC3=NOC(=C3)C(C)(C)C)C4=CC=CC=N4)Cl,Active,57,,,=,1.952,1.122,-20.6,-100,3.62,13,-98.1,-0.1,-12.4,-36.3,,-27.7,,-44.5,-88,-98.1
1326,24791747,6900121,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=C(C=C3)Cl)C(=O)N/N=C/C4=CC=C(O4)[N+](=O)[O-],Active,70,,,<,0.1,,0,-99.9,4,14,-101.9,-75.1,-98.8,-98.7,,-101.2,,-101.9,-101.2,-95.5
1327,17509937,12005055,CC1=C2C(=C(C=C1)[N+](=O)[O-])C(=CC(=N2)C)NC3=CC=CC=C3,Active,59,,,=,1.409,1.166,25,-100,2.2,14,-94.8,50.9,38.2,29.4,-4.2,,-45.6,,-71.9,-94.8
1328,17504655,2839929,C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)NC3=C(C=C(C4=CC=CC=C43)[N+](=O)[O-])[N+](=O)[O-],Active,62,,,=,0.622,1.073,-8.9,-99.4,3.01,14,-102.1,-11.7,-7.9,-27.3,-65.4,,-95.7,,-94.2,-102.1
1329,49825320,1266482,CN1CCN(CC1)C2=CC=CC=C2NC(=O)C3=CC=C(O3)C4=CC=C(C=C4)Br,Active,57,,,=,2.184,1.116,0,-100,4,14,-100.4,2.8,15.9,-3.9,-14.9,,-0.9,,-91.8,-100.4
1330,17516325,4273494,C1=CC=C(C=C1)C2=NN(C(=C2)NC3=CC=CC=C3N)C4=CC(=CC=C4)Cl,Active,53,,,=,5.322,1.066,-19.7,-100,2.06,13,-64.7,-19,-20,-21.8,-19,,-25.6,,-38.7,-64.7
1331,862223,135513626,C1=CC=C2C(=C1)N=C3C(=C(N(C3=N2)/N=C/C4=CC(=C(C=C4)O)O)N)S(=O)(=O)C5=CC(=CC=C5)Cl,Active,55,,,=,3.159,1.066,0,-100,3.26,13,-99.2,3.7,2,1.1,,-8.9,,-14.1,-41.9,-99.2
1332,14743448,1914471,CC1=NN(C(=C1)NC2=NC3=CC=CC=C3N=C2Cl)C4=CC=C(C=C4)[N+](=O)[O-],Active,56,,,=,2.243,1.267,14.4,-100,0.9,14,-73.9,10.5,5.4,-11.4,,-23.5,,-26.5,-44.9,-73.9
1333,4265750,2962287,C1C2CC3CC1CC(C2)(C3)N4C=C(C=N4)NC(=O)C5=NOC(=C5)C6=CC=CC=C6,Active,58,,,=,1.548,1.11,0,-100,1.27,14,-80.8,7.4,-4.5,-13.7,-37.5,,-41.8,,-74.8,-80.8
1334,24807728,135413013,CCC1=CC2=C(C=C1)N=C(NN=C2C3=CC=C(C=C3)N4CCOCC4)C5=CC=NC=C5,Active,58,,,=,1.499,1.077,-19.7,-100,1.93,13,-94.7,-21.2,-21,-19.1,-40.3,,-56.8,,-85.2,-94.7
1335,22412726,8219205,C1=CC=C(C(=C1)/C=C/C(=O)C2=C(C(=O)C=CC=C2)O)Cl,Active,59,,,=,1.219,1.099,0,-100,4,14,-100.6,1.1,-15.7,-6.2,,3.5,,-87.8,-100.6,-98.4
1336,24833257,4967538,CN1CCN(CC1)C2=C(C=C(C=C2)S(=O)(=O)N3CCOCC3)NC(=O)CCC4=CC=CC=C4,Active,58,,,=,1.58,1.153,0,-100,1.04,12,-72.1,-2.1,-10.1,-26.7,,-30.3,,-43.1,-72.1,
1337,24802966,16192607,CCCCCCCCCN1C2=C(CCCC2)C(=N)C3=C1CCC3.Br,Active,70,,,<,0.1,,,,,14,-102,-101.7,-101.6,-102,-99.5,,-97.3,,-96.4,-95.4
1338,7966314,1094006,CC1=CC=C(C=C1)C2=NC3=C(C=NN3C(=C2)C(F)F)C(=O)N4CCN(CC4)C5=CC=CC=N5,Active,63,,,=,0.5,1.189,0,-107.6,1.38,13,-101.8,-0.8,-21.8,-54.7,-55.9,,-93.9,,-101.4,-101.8
1339,24800099,16191768,COC1=C(C=C(C=C1)CC2=NOC(=N2)CN3CCCN(CC3)CC4=CC=C(C=C4)F)OC,Active,66,,,=,0.248,1.036,0,-99.3,1.94,14,-99.4,-15,-37.1,-71,,-87.9,,-96.8,-99.4,-99.2
1340,24829612,4019447,CC1=CC(=C(C=C1NC(=O)CN2C(=O)C(=C(C=N2)Cl)Cl)OC)[N+](=O)[O-],Active,56,,,=,2.394,1.112,16.9,-105.9,4,13,-95.3,10.2,12.4,12.9,,23.4,,8.7,-79.6,-95.3
1341,17513697,12005730,C1CC2=[N+](C=C(N2C1)C3=CC=CC=C3)CC4=CC(=CC=C4)Cl.[Br-],Active,70,,,<,0.1,,0,-105,0.5,14,-101,-81.3,-86.8,-89.7,,-95.5,,-97.8,-99.8,-101
1342,17386628,1748303,CCOC(=O)C1=C(SC(=C1C2=CC=CC=C2)C)NC(=O)C3=C(ON=C3C4=CC=CC=C4)C,Active,61,,,=,0.805,1.141,-9.1,-100,1.58,14,-99.8,-9.4,-22.8,-27.1,-56.7,,-67.4,,-95.4,-99.8
1343,3714904,2321431,CC1=CC(=NC(=N1)N2C(=C(C(=N2)C)SC3=CC=C(C=C3)F)N)C,Active,57,,,=,2.006,1.04,18,-100,2.81,14,-97.7,17,18.7,20.4,6.7,,-16.8,,-70.9,-97.7
1344,14725055,1374146,CC1=CC(=C(C(=C1C)C(=O)CSC2=NN=C(O2)C3=CC4=C(C=C3)NC(=C4C)C)C)C,Active,58,,,=,1.607,1.082,9.1,-100,2.02,14,-100.1,13.6,3.3,4,-12.8,,-40.2,,-73.3,-100.1
1345,49819697,24818024,CCOC(=O)C1=C(SC(=C1C)C(=O)N(C)C)NC(=O)COC(=O)C2=CC=CC=C2NC,Active,61,,,=,0.75,1.089,0,-100,1.57,14,-99.2,-6.8,-4.7,-25.7,-56.9,,-66.2,,-92.4,-99.2
1346,24805309,16192712,C[N+]1=C2N(C3=CC=CC=C31)N=C(CS2)C4=CC=C(C=C4)C5=CC=CC=C5.[Br-],Active,64,,,=,0.376,1.118,0,-104.4,1.3,14,-98.6,-14.1,-38.3,-45.6,-73.1,,-95.6,,-98.6,-98
1347,17407692,9587468,CC1=CC(=CC=C1)/C(=N/OC(=O)N2CCOCC2)/N,Active,56,,,=,2.63,1.181,-18,-99.2,2.39,13,-88.9,-10.3,-19,-19.3,-26.6,,-32,,-66.2,-88.9
1348,56320308,24981309,CCOC1=CC=CC=C1N2C(=NN=N2)SCC(=O)NC3=C(C4=C(S3)C(NC(C4)(C)C)(C)C)C(=O)OCC,Active,59,,,=,1.306,1.136,8.2,-100,2.28,12,-87.9,-3.5,15.9,8.7,-22.3,,-50.5,,-87.9,
1349,24795033,935040,CCC1=CC=C(C=C1)OC2=NC(=NN2C)[N+](=O)[O-],Active,64,,,=,0.438,1.167,-25,-100,2.1,14,-97.7,-30.3,-38.1,-52.1,,-87.2,,-96,-97.6,-97.7
1350,49669649,4652205,C1=CC=C(C=C1)CN2C(=O)C3=C(C=C(C=C3S2)[N+](=O)[O-])[N+](=O)[O-],Active,58,,,=,1.769,1.105,-8.8,-100,4,13,-103.3,0.6,6.6,-25.1,-16.7,,-38.2,,-91.8,-103.3
1351,47194205,3106673,CC(=O)OCCN1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)[N+](=O)[O-],Active,64,,,=,0.358,1.105,0,-96.4,2.07,12,-100,-0.4,-23.5,-52.2,,-80.2,,-87.6,-100,
1352,24822266,7075534,C1CN(CCC1C2=CC(=NN2)C3=CC=CS3)CC4=CC(=CC=C4)C(F)(F)F,Active,56,,,=,2.311,1.098,20.1,-100,4,14,-97.8,-0.4,11.1,36.7,,32.5,,-2.1,-70,-97.8
1353,51089502,7292609,CCC1=C2C(=CC=C1)SC(=N2)N3CCN(CC3)C(=O)C4=CC=C(O4)[N+](=O)[O-],Active,65,,,=,0.307,1.287,0,-113,0.72,13,-98.6,-33.2,-48.6,-63,,-68.6,,-90,-98,-98.6
1354,26727003,2812147,CC1=CC(=NO1)C(=O)NNC2=CC=CC=C2F,Active,56,,,=,2.264,1.142,-9.2,-100,3.1,14,-97.4,-4.4,3.9,-13.5,-30.8,,-22.5,,-75.4,-97.4
1355,17411936,2982122,COC1=C(C=C(C=C1Cl)Cl)C(=O)NC2=CC=C(C=C2)NC(=O)C3=CC=CS3,Active,57,,,=,1.95,1.081,-17.3,-100,4,14,-99.5,-8.3,-15,-22.8,,-26.8,,-40.9,-89.4,-99.5
1356,24813413,9615829,C1=CC=C(C=C1)C(=O)N/N=C/C2=CC=C(O2)C3=CC=CC=C3Cl,Active,70,,,<,0.1,,,,,14,-101.2,-95.6,-97.1,-95.1,-96.4,,-99,,-101.2,-100.5
1357,24782646,2867026,CCOC1=C(C=C(C=C1)C(=O)NC2=CC=C(C=C2)CC3=CC=NC=C3)Br,Active,58,,,=,1.681,1.074,21.7,-99,4,12,-99.7,,16.5,17.6,,26.9,,-35.1,-86.6,-99.7
1358,24827328,6385048,CC1=C/C(=N\NC(=S)NCC2=CC=CC=C2)/CC1,Active,55,,,=,2.884,1.075,15,-100,4,14,-92.5,3.3,16.6,7.3,,18.3,,24.8,-53.9,-92.5
1359,14729611,3769494,C1CCC2=C(C1)C(=C(N=C2C3=CC=CC=C3)N4CCN(CC4)C(=O)C5=CC=CC=C5Cl)C#N,Active,56,,,=,2.357,1.059,-7.1,-100,2.77,14,-93.4,0,-13.4,-8.3,-11.5,,-27.2,,-68.8,-93.4
1360,24825120,2087280,COCCN1C(=O)C2=CC=CC=C2N=C1SCC3=CC(=C(C=C3)OC)F,Active,56,,,=,2.239,1.135,-7.9,-100,2.44,14,-92.4,6.7,-17.6,-9.3,-22.7,,-27.3,,-72.4,-92.4
1361,17504641,978585,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)NC3=CC(=C(C=C3)Cl)Cl,Active,58,,,=,1.516,1.089,-12.7,-100,3.09,14,-98.3,-1.7,-20.9,-13.8,,-28.7,,-54.8,-98.3,-96.1
1362,862816,664049,CN1CCN(CC1)C2=C(N=C(O2)COC3=CC=C(C=C3)C4=CC=CC=C4)C#N,Active,66,,,=,0.226,1.064,0,-103.1,1.25,14,-100.7,-28.7,-45.8,-66.2,,-87.3,,-96,-98.6,-100.7
1363,17408642,1017761,CC1=C(C(=CC=C1)NC(=O)C2=CC=CC(=C2)CN3C=C(C(=N3)[N+](=O)[O-])Br)C,Active,61,,,=,0.834,1.099,0,-100,2.04,14,-100.2,16.6,-15.1,-15.5,-44.4,,-76.5,,-93.4,-100.2
1364,17412603,5334671,CC1=CC(=C(C=C1)C)N(CC(=O)N/N=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])S(=O)(=O)C4=CC=CC=C4,Active,58,,,=,1.645,1.096,0,-104.9,2.72,14,-98.4,-1.3,6.1,-0.6,-18.9,,-40,,-93.9,-98.4
1365,14732787,9550299,C1=CC(=CC=C1NC(=O)CCNS(=O)(=O)C2=CC=C(S2)Br)Cl,Active,55,,,=,3.444,1.048,1.5,-100,4,13,-92,-6.3,-1.9,2.4,,4.5,,3.2,-35.9,-92
1366,26660004,16682008,COC1=CC=C(C=C1)C2=CN(C3=[N+]2CCCCC3)C4=CC=C(C=C4)Cl.[Br-],Active,61,,,=,0.781,1.167,-5.3,-107.5,1.28,14,-100.2,-15,-13.4,-39.4,,-55.8,,-77.2,-93.4,-100.2
1367,17403441,749081,C1=CC=C(C=C1)CNC(=O)CN2C=NC(=N2)[N+](=O)[O-],Active,63,,,=,0.479,1.296,0,-110.3,0.89,14,-97.8,-15,-44,-48.8,-60.8,,-81.5,,-96.1,-97.8
1368,24804292,1911669,COC1=CC(=C(C=C1)OC)N2C(=O)/C(=C\C3=CC=C(S3)[N+](=O)[O-])/C(=O)NC2=O,Active,57,,,=,2.101,1.131,-4.3,-100,1.44,13,-88.4,-8.6,7.9,-14.2,,-28.4,,-40.6,-59.6,-88.4
1369,24833856,3936594,COC1=C(C=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)NC(=O)C3=NC=CN=C3)Br,Active,57,,,=,1.795,1.044,-3.4,-100.2,4,14,-100,-8.1,-4.2,0.3,-4.2,,-35.5,,-88.7,-100
1370,24783128,16188068,CC(C)C1=CC=C(C=C1)NC(=O)C2=CC3=C(N2C)C4=CC=CC=C4N(C3=O)C,Active,59,,,=,1.124,1.08,0,-100,1.92,14,-97.7,1.2,-1.1,-13.6,,-36.2,,-60.5,-92.4,-97.7
1371,16953396,2632862,CCN(CC)S(=O)(=O)C1=CC=C(C=C1)NC(=O)NC2=CC=CC(=C2)C(F)(F)F,Active,58,,,=,1.667,1.071,-7.6,-102.7,4,14,-99.9,-4.6,-4.9,-8.5,-17.8,,-42.4,,-99.9,-98.4
1372,24825913,16195929,CC\1(C2=CC=CC=C2N(/C1=C\C(=O)C[N+]3=CC4=CC=CC=C4C=C3)C)C.[Cl-],Active,63,,,=,0.505,1.076,0,-100,1,14,-97.6,-18,-28,-46.1,-55,,-71.3,,-89.3,-97.6
1373,22405408,2332199,C1CN(CCN1CC2=CC=CC=C2)C(=O)C3=C4C=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=CC(=C6)C(F)(F)F,Active,56,,,=,2.493,1.107,0,-100,4,12,-96.7,11,6,1.6,,-21,,5.5,-73.6,-96.7
1374,51090563,4230544,CC1(CC2=C(C(N1)(C)C)SC(=C2C(=O)OC)NC(=O)COC3=CC=C(C=C3)Cl)C,Active,58,,,=,1.537,1.076,-8.1,-101.2,2.68,14,-98.9,-1.9,-16.4,-8.8,,-21.7,,-57.3,-87.8,-98.9
1375,22405406,9695946,COC1=CC=CC=C1OCC(=O)N/N=C/C=C/C2=CC=C(O2)[N+](=O)[O-],Active,70,,,=,0.105,1.016,0,-100.7,3.74,14,-101.3,-46,-91.6,-100.3,,-101.1,,-101.3,-100,-100
1376,49671093,5069383,CC1=CC=C(C=C1)SC2=NC3=CC=CC=C3C(=C2)C(=O)NCCCN(C)C,Active,69,,,=,0.133,1.066,0,-100.6,1.04,14,-98.5,-45.4,-56.2,-75.5,-89.9,,-92.8,,-95.6,-98.5
1377,49676820,6011141,C1CN(CCN1C2=CC=CC=C2)C(=O)/C=C/C3=CC=C(S3)[N+](=O)[O-],Active,57,,,=,1.806,1.116,0,-100,1.52,13,-85.6,6.4,-1.3,-15.3,,-24.5,,-41.8,-70.7,-85.6
1378,14729372,950649,CC1=CC(=NC(=N1)NCC2=CC=CC=C2)N3CCCCC3,Active,57,,,=,2.038,1.09,8.3,-100,4,13,-100.9,13.4,14.1,9.9,,-9.7,,-10.6,-93.5,-100.9
1379,14741763,6868716,CCOC1=C(C(=CC(=C1)/C=N/NC(=O)CN2C(=CC(=N2)[N+](=O)[O-])C)Br)OCC3=CC=CC=C3C,Active,56,,,=,2.321,1.155,-25,-100,2.43,13,-99,-19.1,-35.8,-34.6,,-31.4,,-33.3,-78.1,-99
1380,7977659,1163790,CCC(=O)C1=CC(=C(C=C1C)N2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)C)F,Active,56,,,=,2.678,1.101,22,-100,2.56,14,-91.3,19.8,37.1,21.3,,-1.8,,2.2,-46.7,-91.3
1381,22415683,2296676,CC1=C(C=CC(=C1)C(C)(C)C)OCCOCCN2CCCC2,Active,60,,,=,0.913,1.133,-1.4,-100,1.74,13,-100.4,0.5,-11.1,-23.6,-41.1,,-64.6,,-96.5,-100.4
1382,26671442,6886476,CC1=CC(=NN1)C(=O)N/N=C/C2=CC=C(S2)[N+](=O)[O-],Active,62,,,=,0.612,1.074,-11.8,-101.3,4,14,-101.2,-11.7,-12.8,-23.3,,-78.5,,-99.7,-100.9,-101.2
1383,17409032,9564693,C1=CC=C(C=C1)NCC(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-],Active,70,,,<,0.1,,0,-101.3,1.18,14,-101.4,-71.8,-86,-93.2,-97.3,,-99.4,,-100.4,-101.4
1384,17402829,2766003,COCCCN1C(=N)C2=CC(=C(C=C2N=C1SCC3=CC(=CC=C3)C(F)(F)F)OC)OC,Active,57,,,=,1.916,1.12,-8.1,-100,4,14,-101.4,7.9,0.9,-19.8,,-27.6,,-31.6,-94.1,-101.4
1385,17513445,7010816,C1=CC=C(C=C1)COC2=CC=CC(=C2)C3=NN(C=C3/C=C(/C#N)\C(=O)NCCCN4C=CN=C4)C5=CC=CC=C5,Active,58,,,=,1.436,1.128,25,-100,3.4,13,-98.6,38.9,48,19.2,,5.9,,-43.9,-98.6,-98.4
1386,49669513,20921518,CC1=CC(=C(C=C1)C)CN2CCCN(S2(=O)=O)CC3=C(C=CC(=C3)C(=O)OC)OC,Active,60,,,=,1.115,1.144,-15.2,-108.2,1.85,14,-101.6,-16.9,-14.7,-31.7,-43.6,,-72.1,,-99.8,-101.6
1387,26663610,1963859,CC(C)(C)C1=NC2=C(C=NN2C(=C1)NCCCN(C)C)C3=CC=CC=C3,Active,62,,,=,0.574,1.11,0,-100,1,13,-98.2,-19,-31.2,-39.9,-45.3,,-74.4,,-87.6,-98.2
